Message	Target blog URL	Timestamp	Content
11	https://fuifuifui.wordpress.com/2017/10/20/development-of-information/comment-page-1/#comment-3	2017-11-03 at 18:16:27	"I like the way that you divide information into 3 layers: physical information, semantic information and digital information. And then you explain them step by step. I appreciate your structure. And I also agree with you that humans learn information from embodiment towards abstraction. But as for digital agents, such as computer, they learn from the other direction. Firstly, they receive digital information which contains abstract symbols and then they convert them into semantic information. And finally, they can study perception and cognition."
12	https://chenghuisite.wordpress.com/2017/10/20/ai-for-sensing-everything-the-integration-of-information-models/comment-page-1/#comment-5	"November 3, 2017 at 10:38 am"	"I really appreciate that you provide many examples from our daily life to explain your points such as iPhone X and AlphaGo. But my point is different from yours. From the lecture, we learned that digital agents study from abstraction to embodiment. My understanding is that digital agents can digest digital information more easily. And then they can learn semantic information. Perception and cognition of physical information is the hardest part. You conclude that AI is the integration of three layers, while I think AI will only process digital information at last. Take AlphaGo Zero as an example, it beat AlphaGo. It does not learn from human’s experience, however, it learns by itself. After bypassing semantic information, it performs better anyway. Maybe this suggests that human can also learn from the machine. Because digital agents are always in the most abstract part."
13	https://chanhoyin311.wordpress.com/2017/10/30/reflection-about-semantic-information/comment-page-1/#comment-36	2017-11-17 at 16:25:59	"I quite agree with you. These buttons are actually symbols which carry semantic information. Symbols are signifiers that could mean anything, but have specific meaning only because of
conventional usage in a given culture. As for the music buttons, if we have already known the meanings, then we won’t bother to click and try. But for those people who are new to these symbols, they may not know what kind of semantic information that each symbol carries on. Only after trying for several times can they dig out the conventional usage and semantic information."
14	https://fuifuifui.wordpress.com/2017/11/02/what-can-natural-language-process-achieve/comment-page-1/#comment-6	2017-11-17 at 16:46:09	"Indeed, natural language processing helps to convert semantic information into digital information in order to let computer become more “intelligent"" I also agree with you that sentiment analysis and text classification can have many useful applications. In fact, when computers are doing NLP, they actually decontextualize semantic information and then assign some values to the words so that computers can calculate and analyze mathematically.."
15	https://valdisho.wordpress.com/2017/11/03/digital-cognition-and-machine-learning/comment-page-1/#comment-18	"November 17, 2017 at 8:59 am"	"It’s interesting to see how you use your personal experience to explain further about the knowledge we have learned from the lectures. The system collects semantic information from customers and then converts semantic information into digital information. After semantic analysis over digital information, the system can make good recommendations for customers. Also, machine learning is now a hot topic. By learning about information from this course, we can apply our knowledge when we study further about machine learning."
16	https://jackngf.wordpress.com/2017/11/01/digital-information-telling-you-what/comment-page-1/#comment-16	"November 17, 2017 at 9:16 am"	"I want to explain the difference between semantic information and digital information. Actually, numbers are semantic information because they come from language and have conventional usage. But student ID is a piece of digital information and has its digital affordance. For example, it can be input to software and map to one student. We can use this sequence of number to trace the student and check the information of that student. Therefore, semantic information is the meaning in behind and digital information can be computed."
17			
18			
19			
20			
21			
22			
23			
24			
